region,district,building_name,full_address,area_sqm,area_pyeong,floor,deposit,monthly_rent,management_fee,total_monthly_cost,ceiling_height,parking_available,near_station,build_year,naver_link,data_source,collected_at,raw_text
서울시,강서구,현장중소형사무실,,53.97,16.3,10,1000,100,24,124,0.0,False,True,0,https://m.land.naver.com/article/info/2551591618,fixed_implementation,2025-09-25T15:46:37.159942,"현장중소형사무실
월세1,000/100

사무실113/53.97㎡, 10/12층, 북향

전용16.룸완비.벽.바닥 예쁘게단장중.코너호실

10년이내역세권고층
산업부동산 제공
마곡보타닉공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,53.97,16.3,10,1000,100,24,124,0.0,False,True,0,https://m.land.naver.com/article/info/2551591618,fixed_implementation,2025-09-25T15:46:37.169544,"현장중소형사무실
월세1,000/100

사무실113/53.97㎡, 10/12층, 북향

전용16.룸완비.벽.바닥 예쁘게단장중.코너호실

10년이내역세권고층
산업부동산 제공
마곡보타닉공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장복합상가,,55.86,16.9,2,2000,110,25,135,0.0,False,True,0,https://m.land.naver.com/article/info/2551728728,fixed_implementation,2025-09-25T15:46:37.178059,"현장복합상가
월세2,000/110

상가68/55.86㎡, 2/5층, 동향

발산역 이대병원앞 층고높은 상가임대 병의원 관련 업 추천 에어컨설치

10년이내역세권중층
선방 제공
마곡수공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장복합상가,,55.86,16.9,2,2000,110,25,135,0.0,False,True,0,https://m.land.naver.com/article/info/2551728728,fixed_implementation,2025-09-25T15:46:37.186513,"현장복합상가
월세2,000/110

상가68/55.86㎡, 2/5층, 동향

발산역 이대병원앞 층고높은 상가임대 병의원 관련 업 추천 에어컨설치

10년이내역세권중층
선방 제공
마곡수공인중개사사무소
확인매물 25.09.24."
서울시,영등포구,현장중소형사무실,,62.14,18.8,9,1300,130,28,158,0.0,False,True,0,https://m.land.naver.com/article/info/2551703560,fixed_implementation,2025-09-25T15:46:37.194941,"현장중소형사무실
월세1,300/130

사무실116/62.14㎡, 9/10층, 남동향

전용18.8, 내부 시설 완비된 깔끔한 사무실

25년이상역세권고층
매경부동산 제공
여의정원공인중개사사무소
확인매물 25.09.24."
서울시,영등포구,현장중소형사무실,,62.14,18.8,9,1300,130,28,158,0.0,False,True,0,https://m.land.naver.com/article/info/2551703560,fixed_implementation,2025-09-25T15:46:37.203634,"현장중소형사무실
월세1,300/130

사무실116/62.14㎡, 9/10층, 남동향

전용18.8, 내부 시설 완비된 깔끔한 사무실

25년이상역세권고층
매경부동산 제공
여의정원공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,38.19,11.6,11,500,55,17,72,0.0,False,True,0,https://m.land.naver.com/article/info/2551686486,fixed_implementation,2025-09-25T15:46:37.211105,"현장중소형사무실
월세500/55

사무실78/38.19㎡, 11/13층, 동향

실사용 13 마곡나루역 사무실 도보3분 가성비좋은사무실

10년이내역세권고층
선방 제공
마곡오피스공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,38.19,11.6,11,500,55,17,72,0.0,False,True,0,https://m.land.naver.com/article/info/2551686486,fixed_implementation,2025-09-25T15:46:37.219156,"현장중소형사무실
월세500/55

사무실78/38.19㎡, 11/13층, 동향

실사용 13 마곡나루역 사무실 도보3분 가성비좋은사무실

10년이내역세권고층
선방 제공
마곡오피스공인중개사사무소
확인매물 25.09.24."
서울시,강서구,동영상,,32.2,9.7,7,500,55,14,69,0.0,False,True,0,https://m.land.naver.com/article/info/2551683240,fixed_implementation,2025-09-25T15:46:37.227349,"동영상
현장중소형사무실
월세500/55

사무실66/32.2㎡, 7/13층, 남향

실사용11, 발코니, 저렴한 사무실, 마곡나루역 초역세권

10년이내역세권중층
부동산뱅크 제공
마곡엘리트부동산공인중개사사무소
확인매물 25.09.24."
서울시,강서구,동영상,,32.2,9.7,7,500,55,14,69,0.0,False,True,0,https://m.land.naver.com/article/info/2551683240,fixed_implementation,2025-09-25T15:46:37.238467,"동영상
현장중소형사무실
월세500/55

사무실66/32.2㎡, 7/13층, 남향

실사용11, 발코니, 저렴한 사무실, 마곡나루역 초역세권

10년이내역세권중층
부동산뱅크 제공
마곡엘리트부동산공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,38.19,11.6,11,500,55,17,72,0.0,False,True,0,https://m.land.naver.com/article/info/2551686486,fixed_implementation,2025-09-25T15:46:50.562616,"현장중소형사무실
월세500/55

사무실78/38.19㎡, 11/13층, 동향

실사용 13 마곡나루역 사무실 도보3분 가성비좋은사무실

10년이내역세권고층
선방 제공
마곡오피스공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,38.19,11.6,11,500,55,17,72,0.0,False,True,0,https://m.land.naver.com/article/info/2551686486,fixed_implementation,2025-09-25T15:46:50.570024,"현장중소형사무실
월세500/55

사무실78/38.19㎡, 11/13층, 동향

실사용 13 마곡나루역 사무실 도보3분 가성비좋은사무실

10년이내역세권고층
선방 제공
마곡오피스공인중개사사무소
확인매물 25.09.24."
서울시,강서구,동영상,,58.24,17.6,6,1000,110,26,136,0.0,False,True,0,https://m.land.naver.com/article/info/2551703248,fixed_implementation,2025-09-25T15:46:50.578294,"동영상
현장중소형사무실
월세1,000/110

사무실121/58.24㎡, 6/7층, 서향

마곡역2분, 코너양창, 룸인테리어, 싱크대, 개별에어컨, 높은 층고

10년이내역세권고층
부동산뱅크 제공
마곡엘리트부동산공인중개사사무소
확인매물 25.09.24."
서울시,강서구,동영상,,58.24,17.6,6,1000,110,26,136,0.0,False,True,0,https://m.land.naver.com/article/info/2551703248,fixed_implementation,2025-09-25T15:46:50.585717,"동영상
현장중소형사무실
월세1,000/110

사무실121/58.24㎡, 6/7층, 서향

마곡역2분, 코너양창, 룸인테리어, 싱크대, 개별에어컨, 높은 층고

10년이내역세권고층
부동산뱅크 제공
마곡엘리트부동산공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,94.61,28.6,7,1300,130,30,160,0.0,False,True,0,https://m.land.naver.com/article/info/2551801544,fixed_implementation,2025-09-25T15:46:50.593151,"현장중소형사무실
월세1,300/130

사무실188/94.61㎡, 7/17층, 남서향

현사진有,확장35,역도보3분,코너호실,룸3,안양천뷰,조건대비저렴,신축급

10년이내역세권중층
산업부동산 제공
프리미어공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,94.61,28.6,7,1300,130,30,160,0.0,False,True,0,https://m.land.naver.com/article/info/2551801544,fixed_implementation,2025-09-25T15:46:50.600744,"현장중소형사무실
월세1,300/130

사무실188/94.61㎡, 7/17층, 남서향

현사진有,확장35,역도보3분,코너호실,룸3,안양천뷰,조건대비저렴,신축급

10년이내역세권중층
산업부동산 제공
프리미어공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,33.75,10.2,5,800,80,15,95,0.0,False,True,0,https://m.land.naver.com/article/info/2551780625,fixed_implementation,2025-09-25T15:46:50.610375,"현장중소형사무실
월세800/80

사무실67/33.75㎡, 5/20층, 북향

2년이내역세권지상층(1층제외)
산업부동산 제공
반도우리공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,33.75,10.2,5,800,80,15,95,0.0,False,True,0,https://m.land.naver.com/article/info/2551780625,fixed_implementation,2025-09-25T15:46:50.617341,"현장중소형사무실
월세800/80

사무실67/33.75㎡, 5/20층, 북향

2년이내역세권지상층(1층제외)
산업부동산 제공
반도우리공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,53.97,16.3,10,1000,100,24,124,0.0,False,True,0,https://m.land.naver.com/article/info/2551591618,fixed_implementation,2025-09-25T15:46:50.624613,"현장중소형사무실
월세1,000/100

사무실113/53.97㎡, 10/12층, 북향

전용16.룸완비.벽.바닥 예쁘게단장중.코너호실

10년이내역세권고층
산업부동산 제공
마곡보타닉공인중개사사무소
확인매물 25.09.24."
서울시,강서구,현장중소형사무실,,53.97,16.3,10,1000,100,24,124,0.0,False,True,0,https://m.land.naver.com/article/info/2551591618,fixed_implementation,2025-09-25T15:46:50.631774,"현장중소형사무실
월세1,000/100

사무실113/53.97㎡, 10/12층, 북향

전용16.룸완비.벽.바닥 예쁘게단장중.코너호실

10년이내역세권고층
산업부동산 제공
마곡보타닉공인중개사사무소
확인매물 25.09.24."
